02-09-2025 - 12:50:22,morganpark,honda,kpro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HertzTime,Engine RPM,Speed,Gear,Voltage,IAT,ECT,MIL,VTS,CL,TPS,MAP,INJ,IGN,Lambda Ratio,Knock Count,Target Cam Angle,Actual Cam Angle,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5,Analog6,Analog7,Ethanol Input1,Ethanol Input2,Ethanol Input3,Latitude,Longitude,LapCount,CurrentTime,CurrentLapStartTime,CurrentLapTime,BestLapTime,PbLapTime,PreviousLapTime
sec,rpm,km/h,,V,C,C,,,,%,kPa,ms,deg,lambda,count,deg,deg,,,,,,,,,hz,%,deg,deg,,,sec,sec,sec,sec,sec,sec
7.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,1,1,1,1,1,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
7.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
7.9,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
8,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,1,1,1,1,0,1,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
8.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
8.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
8.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,0,0,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
8.4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26208833,152.0366367,0,2/09/2025 12:51,2/09/2025 12:50,66500,0,0,0
8.5,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
8.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,0,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
8.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
8.8,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,1,2,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
8.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,2,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
9.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
9.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
9.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
9.4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,1,1,1,1,50,0,0,-28.26209333,152.0366333,0,2/09/2025 12:51,2/09/2025 12:50,67500,0,0,0
9.5,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,0,1,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
9.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
9.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
9.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
9.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,1,1,0,0,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
10,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,2,1,1,1,1,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
10.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
10.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26209333,152.0366317,0,2/09/2025 12:51,2/09/2025 12:50,68500,0,0,0
